"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-04-14","10:24","경기","파주시","당동2로(동→서)","경기도 파주시 문산읍 당동리 934 도","경기도 파주시 문산읍 당동리 500-9 도","16","72","183","나쁨"
"2023-04-14","10:40","경기","파주시","서영로(동→서)","경기도 파주시 문산읍 내포리 1623 도","경기도 파주시 월롱면 덕은리 772-41 도","17","72","176","나쁨"
"2023-04-14","10:47","경기","파주시","엘씨디로(서→동)","경기도 파주시 월롱면 덕은리 772-41 도","경기도 파주시 월롱면 덕은리 535-11 도","17","73","79","좋음"
"2023-04-14","10:55","경기","파주시","엘지로(동→서)","경기도 파주시 월롱면 위전리 325-1도","경기도 파주시 탄현면 낙하리 321도","18","73","75","좋음"
"2023-04-14","11:49","경기","파주시","헤이리로(북→남)","경기도 파주시 탄현면 금산리 35-1도","경기도 파주시 탄현면 성동리 639도","19","68","168","나쁨"
"2023-04-14","11:57","경기","파주시","필승로(서→동)","경기도 파주시 탄현면 성동리 639도","경기도 파주시 탄현면 법흥리 1647도","19","67","70","좋음"
"2023-04-14","12:10","경기","파주시","약산로(동→서)","경기도 파주시 탄현면 법흥리 1603도","경기도 파주시 탄현면 법흥리 1603도","19","70","108","보통"
"2023-04-14","12:13","경기","파주시","법흥로(남→북)","경기도 파주시 탄현면 법흥리 1603도","경기도 파주시 탄현면 법흥리 1648도","19","69","68","좋음"
"2023-04-14","12:18","경기","파주시","성동로(동→서)","경기도 파주시 탄현면 법흥리 1782도","경기도 파주시 탄현면 성동리 642도","19","70","101","보통"
"2023-04-14","12:23","경기","파주시","얼음실로(북→남)","경기도 파주시 탄현면 법흥리 1643도","경기도 파주시 탄현면 법흥리 1647도","19","69","14","매우좋음"
"2023-04-14","12:44","경기","파주시","평화로(서→동)","경기도 파주시 탄현면 성동리 625도","경기도 파주시 금촌동 962-22도","19","70","29","매우좋음"
"2023-04-14","","경기","파주시","돈유3로(서→동)","경기도 파주시 문산읍 선유리 1381 도","경기도 파주시 문산읍 선유리 1373-14 장","14","75","391","매우나쁨"
"2023-04-14","10:11","경기","시흥시","계수로(동→서)","경기도 시흥시 과림동 79-4도","경기도 시흥시 계수동 747-19도","17","55","23","매우좋음"
"2023-04-14","10:20","경기","시흥시","대은로(북→남)","경기도 시흥시 은행동 581도","경기도 시흥시 대야동 산1-4도","17","55","22","매우좋음"
"2023-04-14","10:28","경기","시흥시","은행로(남→북)","경기도 시흥시 은행동 600-3도","경기도 시흥시 은행동 596도","17","56","12","매우좋음"
"2023-04-14","10:39","경기","시흥시","복지로(남→북)","경기도 시흥시 신천동 809-1 도","경기도 시흥시 대야동 420-30천","17","56","14","매우좋음"
"2023-04-14","10:48","경기","시흥시","수인로(서→동)","경기도 시흥시 신천동 598-1도","경기도 시흥시 조남동 산62-2도","18","55","21","매우좋음"
"2023-04-14","11:41","경기","시흥시","동서로(동→서)","경기도 시흥시 목감동 34-2도","경기도 시흥시 월곶동 520-229도","20","53","15","매우좋음"
"2023-04-14","12:16","경기","시흥시","월곶중앙로14번길(남→북)","경기도 시흥시 월곶동 1026도","경기도 시흥시 월곶동 1022도","20","53","39","매우좋음"
"2023-04-14","12:24","경기","시흥시","월곶중앙로(서→동)","경기도 시흥시 월곶동 1030도","경기도 시흥시 월곶동 1054도","20","55","20","매우좋음"
